,Time
154,1588191898639.6128
155,1588191898672.6272
156,1588191898721.5757
157,1588191898769.547
158,1588191898778.5679
159,1588191898798.5234
160,1588191898842.4946
161,1588191898871.4775
162,1588191898916.456
163,1588191898920.449
164,1588191898964.4236
165,1588191898996.4045
166,1588191899044.379
167,1588191899084.3604
168,1588191899136.3271
169,1588191899143.3245
170,1588191899174.309
171,1588191899204.3032
172,1588191899253.2698
173,1588191899258.2537
174,1588191899284.238
175,1588191899332.2144
176,1588191899380.1833
177,1588191899385.1875
178,1588191899412.165
179,1588191899460.1367
180,1588191899492.1372
181,1588191899540.104
182,1588191899588.063
183,1588191899593.06
184,1588191899620.0461
185,1588191899668.0164
186,1588191899700.0117
187,1588191899747.9717
188,1588191899752.9688
189,1588191899795.9446
190,1588191899827.9255
191,1588191899875.9177
192,1588191899908.3953
193,1588191899956.3684
194,1588191899961.3635
195,1588191900006.341
196,1588191900036.3228
197,1588191900084.2952
198,1588191900088.2922
199,1588191900118.2793
200,1588191900164.2468
201,1588191900212.2236
202,1588191900216.2173
203,1588191900293.1858
204,1588191900299.169
205,1588191900327.1602
206,1588191900372.1267
207,1588191900420.1123
208,1588191900425.0972
209,1588191900453.0823
210,1588191900500.0522
211,1588191900549.0396
212,1588191900554.0237
213,1588191900580.0107
214,1588191900627.9785
215,1588191900659.9604
216,1588191900707.9324
217,1588191900756.4905
218,1588191900761.4878
219,1588191900789.4714
220,1588191900836.4453
221,1588191900870.4258
222,1588191900916.4124
223,1588191900921.3953
224,1588191900969.37
225,1588191900996.3604
226,1588191901044.3247
227,1588191901077.3086
228,1588191901124.278
229,1588191901129.276
230,1588191901172.255
231,1588191901206.231
232,1588191901254.2053
233,1588191901258.2024
234,1588191901284.186
235,1588191901332.1584
236,1588191901380.131
237,1588191901385.1284
238,1588191901413.1113
239,1588191901460.0842
240,1588191901494.0657
241,1588191901542.0366
242,1588191901589.0098
243,1588191901594.0098
244,1588191901622.9922
245,1588191901670.5176
246,1588191901703.4988
247,1588191901750.4705
248,1588191901756.466
249,1588191901797.4446
250,1588191901829.431
251,1588191901877.4004
252,1588191901908.3784
253,1588191901970.3489
254,1588191901980.3433
255,1588191902020.32
256,1588191902040.3044
257,1588191902087.281
258,1588191902093.2727
259,1588191902118.263
260,1588191902164.232
261,1588191902213.2034
262,1588191902217.2007
263,1588191902293.158
264,1588191902298.1602
265,1588191902325.1406
266,1588191902374.11
267,1588191902424.0837
268,1588191902428.0784
269,1588191902457.0625
270,1588191902502.0364
271,1588191902554.008
272,1588191902560.0054
273,1588191902581.993
274,1588191902627.9622
275,1588191902659.9487
276,1588191902709.9194
277,1588191902757.0583
278,1588191902763.0552
279,1588191902789.04
280,1588191902837.0127
281,1588191902869.9956
282,1588191902920.9646
283,1588191902924.9639
284,1588191902965.5137
285,1588191902996.4985
286,1588191903045.4673
287,1588191903077.4485
288,1588191903124.4243
289,1588191903131.4194
290,1588191903172.3955
291,1588191903204.3762
292,1588191903253.3503
293,1588191903258.3445
294,1588191903286.329
295,1588191903335.3115
296,1588191903384.2717
297,1588191903388.269
298,1588191903415.2563
299,1588191903460.227
300,1588191903492.2085
301,1588191903541.1836
302,1588191903590.1526
303,1588191903597.1562
304,1588191903620.1348
305,1588191903671.1062
306,1588191903702.0876
307,1588191903750.0603
308,1588191903755.0564
309,1588191903799.0327
310,1588191903829.0151
311,1588191903875.9873
312,1588191903907.9692
313,1588191903957.9404
314,1588191903963.94
315,1588191904004.9143
316,1588191904036.8943
317,1588191904086.6042
318,1588191904092.6016
319,1588191904118.5852
320,1588191904166.5566
321,1588191904211.5305
322,1588191904216.5283
323,1588191904293.486
324,1588191904299.4817
325,1588191904324.4663
326,1588191904372.4407
327,1588191904421.4104
328,1588191904426.406
329,1588191904452.3933
330,1588191904502.363
331,1588191904552.337
332,1588191904556.3328
333,1588191904582.3167
334,1588191904631.2878
335,1588191904661.28
336,1588191904709.2432
337,1588191904757.2153
338,1588191904765.2168
339,1588191904789.197
340,1588191904836.17
341,1588191904870.1497
342,1588191904919.122
343,1588191904925.1196
344,1588191904965.0947
345,1588191905000.0808
346,1588191905045.0566
347,1588191905078.0388
348,1588191905125.0024
349,1588191905133.003
350,1588191905172.9792
351,1588191905204.9624
352,1588191905252.9314
353,1588191905257.9265
354,1588191905284.9126
355,1588191905334.8816
356,1588191905382.8552
357,1588191905387.8508
358,1588191905414.8406
359,1588191905462.455
360,1588191905492.4402
361,1588191905540.408
362,1588191905589.3792
363,1588191905596.383
364,1588191905620.3618
365,1588191905668.334
366,1588191905703.315
367,1588191905751.2856
368,1588191905757.2874
369,1588191905798.258
370,1588191905831.2432
371,1588191905878.2207
372,1588191905908.1968
373,1588191905956.167
374,1588191905962.1753
375,1588191906005.14
376,1588191906036.1218
377,1588191906085.093
378,1588191906091.0986
379,1588191906117.0762
380,1588191906167.0464
381,1588191906215.021
382,1588191906219.0159
383,1588191906292.9756
384,1588191906299.9722
385,1588191906323.9546
386,1588191906371.9272
387,1588191906420.8977
388,1588191906426.906
389,1588191906451.8809
390,1588191906499.853
391,1588191906550.457
392,1588191906555.4539
393,1588191906582.4436
394,1588191906631.4133
395,1588191906663.395
396,1588191906708.3687
397,1588191906757.3406
398,1588191906763.3337
399,1588191906789.3184
400,1588191906837.291
401,1588191906869.273
402,1588191906919.2449
403,1588191906924.247
404,1588191906966.2166
405,1588191906999.1985
406,1588191907048.1755
407,1588191907053.167
408,1588191907135.1228
409,1588191907143.1191
410,1588191907172.0974
411,1588191907206.083
412,1588191907253.0525
413,1588191907259.0532
414,1588191907286.033
415,1588191907334.006
416,1588191907366.9883
417,1588191907397.967
418,1588191907431.9482
419,1588191907460.9336
420,1588191907492.912
421,1588191907524.8948
422,1588191907555.8792
423,1588191907587.8572
424,1588191907619.8389
425,1588191907651.8242
426,1588191907683.8057
427,1588191907732.7769
428,1588191907763.7603
429,1588191907796.7407
430,1588191907829.7217
431,1588191907861.1426
432,1588191907893.131
433,1588191907927.1055
434,1588191907956.0876
435,1588191907988.068
436,1588191908021.0486
437,1588191908053.0425
438,1588191908085.015
439,1588191908132.9832
440,1588191908164.9653
441,1588191908198.9458
442,1588191908229.9277
443,1588191908262.9092
444,1588191908294.8955
445,1588191908325.8777
446,1588191908359.2024
447,1588191908389.1858
448,1588191908421.1594
449,1588191908452.1414
450,1588191908484.1233
451,1588191908532.0957
452,1588191908566.0762
453,1588191908600.0605
454,1588191908637.0356
455,1588191908665.0186
456,1588191908696.0105
457,1588191908725.9937
458,1588191908759.9666
459,1588191908789.9478
460,1588191908823.929
461,1588191908852.9104
462,1588191908888.898
463,1588191908935.8618
464,1588191908969.482
465,1588191908998.4631
466,1588191909030.4446
467,1588191909061.4253
468,1588191909095.406
469,1588191909124.3887
470,1588191909160.377
471,1588191909190.3535
472,1588191909220.3374
473,1588191909252.3145
474,1588191909285.2961
475,1588191909333.276
476,1588191909364.25
477,1588191909397.2312
478,1588191909429.2134
479,1588191909462.1992
480,1588191909494.175
481,1588191909527.1582
482,1588191909559.1392
483,1588191909592.1187
484,1588191909620.1033
485,1588191909653.0938
486,1588191909684.0652
487,1588191909733.0374
488,1588191909764.0193
489,1588191909797.0056
490,1588191909829.9824
491,1588191909861.9634
492,1588191909894.9456
493,1588191909926.9255
494,1588191909957.9077
495,1588191909991.8875
496,1588191910020.8708
497,1588191910052.4714
498,1588191910092.4543
499,1588191910137.433
500,1588191910166.4084
501,1588191910196.3923
502,1588191910229.3691
503,1588191910262.3503
504,1588191910295.3357
505,1588191910328.3132
506,1588191910359.2932
507,1588191910392.2756
508,1588191910423.2678
509,1588191910454.2415
510,1588191910485.2222
511,1588191910532.1938
512,1588191910564.175
513,1588191910598.161
514,1588191910634.1353
515,1588191910662.1194
516,1588191910694.1003
517,1588191910729.0854
518,1588191910763.4204
519,1588191910791.723
520,1588191910825.1038
521,1588191910860.6868
522,1588191910884.4907
523,1588191910933.15
524,1588191910965.256
525,1588191910996.2375
526,1588191911032.217
527,1588191911061.7947
528,1588191911095.2427
529,1588191911131.552
530,1588191911161.7712
531,1588191911196.3445
532,1588191911225.873
533,1588191911254.92
534,1588191911292.027
535,1588191911343.4082
536,1588191911373.47
537,1588191911400.9438
538,1588191911434.6694
539,1588191911461.5383
540,1588191911518.485
541,1588191911562.0837
542,1588191911570.134
543,1588191911592.9138
544,1588191911641.4568
545,1588191911674.19
546,1588191911718.9368
547,1588191911725.9268
548,1588191911764.5388
549,1588191911796.3918
550,1588191911845.3762
551,1588191911852.3672
552,1588191911927.3262
553,1588191911932.3254
554,1588191911975.2932
555,1588191912010.2747
556,1588191912056.251
557,1588191912064.2458
558,1588191912090.2312
559,1588191912133.2048
560,1588191912184.1836
561,1588191912193.1711
562,1588191912215.1606
563,1588191912263.1274
564,1588191912296.1675
565,1588191912351.2534
566,1588191912404.2212
567,1588191912408.2185
568,1588191912422.2112
569,1588191912471.1892
570,1588191912503.172
571,1588191912550.5083
572,1588191912555.5063
573,1588191912597.4817
574,1588191912629.4624
575,1588191912676.4412
576,1588191912709.4236
577,1588191912758.495
578,1588191912763.4915
579,1588191912808.47
580,1588191912841.4543
581,1588191912886.438
582,1588191912891.4329
583,1588191912919.4207
584,1588191912966.8813
585,1588191913013.8032
586,1588191913017.7996
587,1588191913092.458
588,1588191913099.4536
589,1588191913124.4385
590,1588191913172.8984
591,1588191913221.87
592,1588191913227.8691
593,1588191913253.8513
594,1588191913301.824
595,1588191913348.7964
596,1588191913353.7944
597,1588191913382.783
598,1588191913428.7505
599,1588191913461.7495
600,1588191913508.7043
601,1588191913556.565
602,1588191913560.56
603,1588191913589.543
604,1588191913637.5156
605,1588191913669.4976
606,1588191913717.4705
607,1588191913722.4666
608,1588191913766.415
609,1588191913797.3823
610,1588191913845.3591
611,1588191913875.3374
612,1588191913925.31
613,1588191913930.308
614,1588191913972.2856
615,1588191914004.2634
616,1588191914053.1929
617,1588191914057.1885
618,1588191914084.1729
619,1588191914133.1438
620,1588191914183.1208
621,1588191914187.1138
622,1588191914213.098
623,1588191914261.0515
624,1588191914294.0322
625,1588191914341.0054
626,1588191914391.9802
627,1588191914397.9736
628,1588191914421.9666
629,1588191914469.2876
630,1588191914501.2715
631,1588191914549.2402
632,1588191914555.2422
633,1588191914597.2253
634,1588191914629.2004
635,1588191914677.1677
636,1588191914709.1484
637,1588191914758.1216
638,1588191914763.1174
639,1588191914805.0935
640,1588191914837.075
641,1588191914885.0461
642,1588191914890.045
643,1588191914917.028
644,1588191914965.999
645,1588191915012.973
646,1588191915017.9702
647,1588191915092.93
648,1588191915097.923
649,1588191915125.9077
650,1588191915171.8806
651,1588191915220.8523
652,1588191915226.8499
653,1588191915252.846
654,1588191915300.817
655,1588191915352.084
656,1588191915357.0796
657,1588191915382.0618
658,1588191915429.0344
659,1588191915462.0215
660,1588191915508.989
661,1588191915555.9612
662,1588191915561.9578
663,1588191915588.9434
664,1588191915636.918
665,1588191915667.9722
666,1588191915717.9414
667,1588191915721.941
668,1588191915765.9148
669,1588191915797.8962
670,1588191915846.8735
671,1588191915877.854
672,1588191915924.8289
673,1588191915929.8235
674,1588191915972.8005
675,1588191916005.7856
676,1588191916068.762
677,1588191916083.749
678,1588191916100.739
679,1588191916133.734
680,1588191916180.7026
681,1588191916185.6938
682,1588191916214.6738
683,1588191916262.6494
684,1588191916292.6482
685,1588191916340.6003
686,1588191916389.0588
687,1588191916394.0576
688,1588191916422.0417
689,1588191916469.0208
690,1588191916501.9956
691,1588191916549.9675
692,1588191916555.9768
693,1588191916596.9404
694,1588191916629.9211
695,1588191916677.8958
696,1588191916709.8757
697,1588191916757.848
698,1588191916761.8447
699,1588191916805.8206
700,1588191916838.801
701,1588191916884.7815
702,1588191916889.7769
703,1588191916915.7612
704,1588191916964.733
705,1588191917013.706
706,1588191917018.702
707,1588191917094.658
708,1588191917099.6548
709,1588191917125.64
710,1588191917172.7102
711,1588191917221.6804
712,1588191917226.6787
713,1588191917253.6655
714,1588191917301.6348
715,1588191917348.609
716,1588191917352.6062
717,1588191917381.5881
718,1588191917428.5608
719,1588191917460.9575
720,1588191917508.9326
721,1588191917555.9028
722,1588191917559.8997
723,1588191917588.883
724,1588191917636.8564
725,1588191917668.8394
726,1588191917716.811
727,1588191917721.8066
728,1588191917764.7854
729,1588191917796.7703
730,1588191917845.748
731,1588191917877.725
732,1588191917924.6938
733,1588191917930.6958
734,1588191917973.669
735,1588191918006.6545
736,1588191918052.6213
737,1588191918059.625
738,1588191918083.602
739,1588191918132.573
740,1588191918181.549
741,1588191918186.5425
742,1588191918211.5278
743,1588191918260.6365
744,1588191918293.6177
745,1588191918340.5906
746,1588191918390.567
747,1588191918395.559
748,1588191918420.5452
749,1588191918468.8064
750,1588191918500.789
751,1588191918548.7588
752,1588191918554.7578
753,1588191918595.7317
754,1588191918628.716
755,1588191918677.6843
756,1588191918709.6658
757,1588191918757.64
758,1588191918762.6372
759,1588191918805.6147
760,1588191918837.594
761,1588191918909.4858
762,1588191918914.482
763,1588191918920.477
764,1588191918965.7375
765,1588191919013.7166
766,1588191919017.7085
767,1588191919044.691
768,1588191919092.6638
769,1588191919126.645
770,1588191919172.856
771,1588191919221.8289
772,1588191919227.8308
773,1588191919251.8135
774,1588191919301.785
775,1588191919348.706
776,1588191919355.7031
777,1588191919380.6885
778,1588191919428.6604
779,1588191919460.6448
780,1588191919508.615
781,1588191919558.0813
782,1588191919563.0796
783,1588191919590.062
784,1588191919638.0356
785,1588191919669.0164
786,1588191919716.9875
787,1588191919722.989
788,1588191919764.9631
789,1588191919796.942
790,1588191919844.9143
791,1588191919876.8967
792,1588191919924.868
793,1588191919929.865
794,1588191919972.8403
795,1588191920005.823
796,1588191920052.806
797,1588191920056.7925
798,1588191920084.7761
799,1588191920132.753
800,1588191920180.72
801,1588191920187.7239
802,1588191920211.7034
803,1588191920260.7239
804,1588191920291.7063
805,1588191920341.6777
806,1588191920389.6636
807,1588191920395.6653
808,1588191920420.6462
809,1588191920468.622
810,1588191920500.5999
811,1588191920549.5718
812,1588191920554.5684
813,1588191920596.5444
814,1588191920628.5256
815,1588191920676.4866
816,1588191920708.4688
817,1588191920757.4421
818,1588191920761.438
819,1588191920806.4138
820,1588191920836.3955
821,1588191920885.3662
822,1588191920889.367
823,1588191920916.3489
824,1588191920965.321
825,1588191921013.2927
826,1588191921019.2908
827,1588191921093.2468
828,1588191921099.255
829,1588191921125.229
830,1588191921173.2126
831,1588191921222.172
832,1588191921227.189
833,1588191921254.1533
834,1588191921301.1282
835,1588191921349.5535
836,1588191921354.5505
837,1588191921381.534
838,1588191921429.5068
839,1588191921460.5002
840,1588191921509.4841
841,1588191921556.4443
842,1588191921562.4436
843,1588191921590.4297
844,1588191921638.3982
845,1588191921669.417
846,1588191921718.3884
847,1588191921724.3848
848,1588191921764.731
849,1588191921796.711
850,1588191921844.6858
851,1588191921877.619
852,1588191921924.5928
853,1588191921928.5894
854,1588191921974.5234
855,1588191922005.5068
856,1588191922053.5342
857,1588191922057.5308
858,1588191922085.5183
859,1588191922132.492
860,1588191922180.4602
861,1588191922185.4568
862,1588191922213.444
863,1588191922260.4172
864,1588191922292.3967
865,1588191922341.3662
866,1588191922388.5083
867,1588191922394.498
868,1588191922421.4812
869,1588191922469.4573
870,1588191922501.437
871,1588191922550.8489
872,1588191922555.8564
873,1588191922596.82
874,1588191922628.802
875,1588191922676.7737
876,1588191922707.7563
877,1588191922756.7483
878,1588191922761.742
879,1588191922805.701
880,1588191922836.6821
881,1588191922886.6729
882,1588191922891.6694
883,1588191922917.653
884,1588191922965.5105
885,1588191923012.4807
886,1588191923017.4795
887,1588191923093.5713
888,1588191923098.5674
889,1588191923140.5427
890,1588191923171.7732
891,1588191923220.7449
892,1588191923225.7437
893,1588191923253.1816
894,1588191923301.1533
895,1588191923349.126
896,1588191923355.1228
897,1588191923382.113
898,1588191923428.0806
899,1588191923460.0635
900,1588191923509.038
901,1588191923558.0056
902,1588191923561.0034
903,1588191923588.9958
904,1588191923635.961
905,1588191923668.9426
906,1588191923717.9146
907,1588191923722.911
908,1588191923763.8887
909,1588191923796.869
910,1588191923844.841
911,1588191923877.822
912,1588191923925.7932
913,1588191923932.7903
914,1588191923973.7668
915,1588191924005.7473
916,1588191924051.7202
917,1588191924057.721
918,1588191924084.7024
919,1588191924133.6743
920,1588191924180.646
921,1588191924186.6428
922,1588191924213.6343
923,1588191924260.5684
924,1588191924292.55
925,1588191924340.5322
926,1588191924389.4958
927,1588191924393.4917
928,1588191924420.4763
929,1588191924469.4497
930,1588191924501.4292
931,1588191924550.4016
932,1588191924556.398
933,1588191924597.3738
934,1588191924629.3625
935,1588191924676.3362
936,1588191924708.3093
937,1588191924757.736
938,1588191924760.7332
939,1588191924804.7075
940,1588191924835.6885
941,1588191924884.666
942,1588191924889.66
943,1588191924916.6428
944,1588191924964.6257
945,1588191925013.5972
946,1588191925018.598
947,1588191925092.552
948,1588191925097.5505
949,1588191925141.5254
950,1588191925173.464
951,1588191925221.4365
952,1588191925226.4333
953,1588191925252.4187
954,1588191925301.3965
955,1588191925348.7393
956,1588191925353.735
957,1588191925382.7197
958,1588191925429.6924
959,1588191925461.6763
960,1588191925511.653
961,1588191925555.621
962,1588191925561.6213
963,1588191925588.6028
964,1588191925636.5815
965,1588191925668.7727
966,1588191925717.7468
967,1588191925722.7456
968,1588191925764.8398
969,1588191925797.8396
970,1588191925845.8042
971,1588191925877.7773
972,1588191925925.752
973,1588191925929.746
974,1588191925972.7344
975,1588191926005.7034
976,1588191926053.6804
977,1588191926057.6726
978,1588191926083.6558
979,1588191926133.6287
980,1588191926180.599
981,1588191926186.5986
982,1588191926214.5806
983,1588191926260.5562
984,1588191926291.536
985,1588191926340.5125
986,1588191926389.48
987,1588191926396.4758
988,1588191926420.4622
989,1588191926468.436
990,1588191926501.415
991,1588191926548.3872
992,1588191926553.3843
993,1588191926597.3591
994,1588191926630.3416
995,1588191926677.3127
996,1588191926708.2957
997,1588191926756.2678
998,1588191926762.2637
999,1588191926805.2444
1000,1588191926836.2217
1001,1588191926885.193
1002,1588191926891.1914
1003,1588191926917.175
1004,1588191926965.1553
1005,1588191927014.119
1006,1588191927020.1152
1007,1588191927094.0732
1008,1588191927098.0696
1009,1588191927142.0508
1010,1588191927172.9836
1011,1588191927219.956
1012,1588191927224.9592
1013,1588191927253.938
1014,1588191927300.9114
1015,1588191927348.8867
1016,1588191927352.8792
1017,1588191927381.8625
1018,1588191927427.8367
1019,1588191927460.817
1020,1588191927508.79
1021,1588191927556.7644
1022,1588191927560.7593
1023,1588191927588.7512
1024,1588191927636.7158
1025,1588191927668.6987
1026,1588191927717.672
1027,1588191927721.6663
1028,1588191927764.6453
1029,1588191927797.6255
1030,1588191927845.5955
1031,1588191927878.5774
1032,1588191927924.5503
1033,1588191927929.5474
1034,1588191927972.5212
1035,1588191928006.5024
1036,1588191928057.474
1037,1588191928062.471
1038,1588191928085.4597
1039,1588191928132.4312
1040,1588191928180.4045
1041,1588191928184.4
1042,1588191928213.3872
1043,1588191928260.3555
1044,1588191928293.3364
1045,1588191928341.3083
1046,1588191928389.2854
1047,1588191928393.2798
1048,1588191928420.2625
1049,1588191928469.238
1050,1588191928501.2158
1051,1588191928549.1887
1052,1588191928554.1858
1053,1588191928597.1614
1054,1588191928629.145
1055,1588191928677.1152
1056,1588191928710.0962
1057,1588191928758.0703
1058,1588191928762.0654
1059,1588191928805.0432
1060,1588191928837.0276
1061,1588191928884.994
1062,1588191928888.9949
1063,1588191928915.9775
1064,1588191928964.9478
1065,1588191929012.9202
1066,1588191929018.9204
1067,1588191929092.877
1068,1588191929097.871
1069,1588191929141.8457
1070,1588191929173.8276
1071,1588191929221.8035
1072,1588191929227.7986
1073,1588191929251.7822
1074,1588191929299.7542
1075,1588191929348.6685
1076,1588191929355.6753
1077,1588191929380.6501
1078,1588191929428.6218
1079,1588191929460.6045
1080,1588191929508.576
1081,1588191929557.5413
1082,1588191929562.5393
1083,1588191929589.5227
1084,1588191929636.4958
1085,1588191929669.5222
1086,1588191929717.4946
1087,1588191929721.494
1088,1588191929765.0386
1089,1588191929796.0173
1090,1588191929843.9888
1091,1588191929876.97
1092,1588191929924.9438
1093,1588191929930.9448
1094,1588191929972.9153
1095,1588191930006.896
1096,1588191930052.8696
1097,1588191930056.867
1098,1588191930084.849
1099,1588191930132.8228
1100,1588191930179.7952
1101,1588191930185.792
1102,1588191930212.7761
1103,1588191930259.7493
1104,1588191930292.732
1105,1588191930340.7017
1106,1588191930389.6814
1107,1588191930394.6765
1108,1588191930421.6628
1109,1588191930468.5315
1110,1588191930499.513
1111,1588191930549.4844
1112,1588191930555.4817
1113,1588191930596.457
1114,1588191930629.4377
1115,1588191930676.6182
1116,1588191930708.601
1117,1588191930757.786
1118,1588191930762.7834
1119,1588191930804.7588
1120,1588191930837.743
1121,1588191930883.7131
1122,1588191930889.713
1123,1588191930916.7039
1124,1588191930964.2935
1125,1588191931013.265
1126,1588191931020.2676
1127,1588191931092.219
1128,1588191931098.2156
1129,1588191931141.1914
1130,1588191931172.1719
1131,1588191931222.1492
1132,1588191931242.1355
1133,1588191931253.1323
1134,1588191931301.098
1135,1588191931349.0757
1136,1588191931354.0686
1137,1588191931381.0522
1138,1588191931430.0251
1139,1588191931460.0103
1140,1588191931508.9802
1141,1588191931557.9495
1142,1588191931618.9163
1143,1588191931637.9045
1144,1588191931669.8867
1145,1588191931717.859
1146,1588191931722.854
1147,1588191931763.8396
1148,1588191931795.8118
1149,1588191931844.7832
1150,1588191931876.7664
1151,1588191931923.7375
1152,1588191931928.738
1153,1588191931973.7397
1154,1588191932006.7197
1155,1588191932053.5544
1156,1588191932057.5505
1157,1588191932085.5435
1158,1588191932132.5068
1159,1588191932180.4812
1160,1588191932186.477
1161,1588191932212.4617
1162,1588191932259.4336
1163,1588191932292.4146
1164,1588191932340.3857
1165,1588191932391.3572
1166,1588191932397.3538
1167,1588191932421.3403
1168,1588191932492.2996
1169,1588191932501.2942
1170,1588191932549.2659
1171,1588191932553.2632
1172,1588191932596.2422
1173,1588191932629.2234
1174,1588191932676.1929
1175,1588191932709.179
1176,1588191932757.1462
1177,1588191932763.1445
1178,1588191932805.119
1179,1588191932837.1006
1180,1588191932886.072
1181,1588191932891.0684
1182,1588191932918.0527
1183,1588191932966.034
1184,1588191933012.9973
1185,1588191933019.995
1186,1588191933093.9514
1187,1588191933097.949
1188,1588191933140.925
1189,1588191933172.9055
1190,1588191933221.88
1191,1588191933225.8752
1192,1588191933252.8599
1193,1588191933301.8333
1194,1588191933348.811
1195,1588191933353.7998
1196,1588191933380.7856
1197,1588191933428.759
1198,1588191933459.7393
1199,1588191933508.7114
1200,1588191933557.515
1201,1588191933562.506
1202,1588191933588.492
1203,1588191933637.471
1204,1588191933668.446
1205,1588191933717.4185
1206,1588191933722.4143
1207,1588191933765.3928
1208,1588191933795.3713
1209,1588191933844.3452
1210,1588191933876.3293
1211,1588191933924.2966
1212,1588191933931.2979
1213,1588191933972.2732
1214,1588191934004.2512
1215,1588191934054.223
1216,1588191934059.2244
1217,1588191934085.2107
1218,1588191934134.1772
1219,1588191934182.1492
1220,1588191934187.146
1221,1588191934211.131
1222,1588191934260.1052
1223,1588191934292.0918
1224,1588191934340.0566
1225,1588191934389.0288
1226,1588191934394.0261
1227,1588191934421.0115
1228,1588191934468.9836
1229,1588191934501.9639
1230,1588191934549.9358
1231,1588191934555.938
1232,1588191934597.913
1233,1588191934628.89
1234,1588191934676.8633
1235,1588191934707.844
1236,1588191934756.8206
1237,1588191934762.8125
1238,1588191934804.789
